event,signal,t_ms,mean_z
cold_to_hot,heat_score,-250,1.1917548411665548
cold_to_hot,heat_score,-200,1.2054238614872819
cold_to_hot,heat_score,-150,1.2160544456098132
cold_to_hot,heat_score,-100,1.262137123211278
cold_to_hot,heat_score,-50,1.357056021513916
cold_to_hot,heat_score,0,1.660979143647512
cold_to_hot,heat_score,50,1.6555095617117384
cold_to_hot,heat_score,100,1.6427671068607177
cold_to_hot,heat_score,150,1.6340435406874232
cold_to_hot,heat_score,200,1.636342891903229
cold_to_hot,heat_score,250,1.6245170530238644
cold_to_hot,access_rate,-250,-0.008862193378366835
cold_to_hot,access_rate,-200,-0.007923689269927155
cold_to_hot,access_rate,-150,-0.007835178637355557
cold_to_hot,access_rate,-100,-0.008145880045465652
cold_to_hot,access_rate,-50,-0.008089617789018982
cold_to_hot,access_rate,0,-0.004027440644157355
cold_to_hot,access_rate,50,-0.0020877320824852124
cold_to_hot,access_rate,100,-0.002119595332169673
cold_to_hot,access_rate,150,-0.0021823580116055188
cold_to_hot,access_rate,200,-0.001277103590205448
cold_to_hot,access_rate,250,-0.0014582217242486738
cold_to_hot,interval_access_rate,-250,-0.002652262222042576
cold_to_hot,interval_access_rate,-200,0.019660062555353564
cold_to_hot,interval_access_rate,-150,-7.193822658312287e-05
cold_to_hot,interval_access_rate,-100,-0.009975289105748261
cold_to_hot,interval_access_rate,-50,-0.0031818435226552122
cold_to_hot,interval_access_rate,0,0.058858969524511716
cold_to_hot,interval_access_rate,50,0.023388349925477985
cold_to_hot,interval_access_rate,100,0.0063338992124556395
cold_to_hot,interval_access_rate,150,0.007649561407468043
cold_to_hot,interval_access_rate,200,0.028681571037293643
cold_to_hot,interval_access_rate,250,0.0011378241317474207
cold_to_hot,si,-250,0.10568075135390041
cold_to_hot,si,-200,0.7612929137670754
cold_to_hot,si,-150,-0.19877866292736168
cold_to_hot,si,-100,-0.24879982331580974
cold_to_hot,si,-50,0.5798507246940344
cold_to_hot,si,0,3.063361879293196
cold_to_hot,si,50,-0.6255445777525066
cold_to_hot,si,100,-1.0930624034427532
cold_to_hot,si,150,-0.05564910202924612
cold_to_hot,si,200,0.6483427120836918
cold_to_hot,si,250,-0.694026147966422
cold_to_hot,asi,-250,0.7656016449021498
cold_to_hot,asi,-200,0.9603480999818874
cold_to_hot,asi,-150,0.9212470152087997
cold_to_hot,asi,-100,0.8699620885574412
cold_to_hot,asi,-50,1.0205141097510617
cold_to_hot,asi,0,1.7759826453531034
cold_to_hot,asi,50,1.632932854390845
cold_to_hot,asi,100,1.3760082862596177
cold_to_hot,asi,150,1.3717696839213147
cold_to_hot,asi,200,1.5390045041142184
cold_to_hot,asi,250,1.3792744414301206
cold_to_hot,aroon_up,-250,1.0507398243371213
cold_to_hot,aroon_up,-200,1.1314242942703228
cold_to_hot,aroon_up,-150,1.3701841599955984
cold_to_hot,aroon_up,-100,1.4445648398350655
cold_to_hot,aroon_up,-50,1.4366408898778396
cold_to_hot,aroon_up,0,2.1794978908464606
cold_to_hot,aroon_up,50,2.1439030679781754
cold_to_hot,aroon_up,100,1.9714476012124271
cold_to_hot,aroon_up,150,1.8453722234724361
cold_to_hot,aroon_up,200,1.851019377051632
cold_to_hot,aroon_up,250,1.740488512077973
cold_to_hot,aroon_down,-250,-0.195341292379333
cold_to_hot,aroon_down,-200,-0.10711771007378806
cold_to_hot,aroon_down,-150,-0.08103259598133403
cold_to_hot,aroon_down,-100,-0.05923289348978515
cold_to_hot,aroon_down,-50,-0.0531774205754665
cold_to_hot,aroon_down,0,-0.03286829603205699
cold_to_hot,aroon_down,50,-0.04246389157320756
cold_to_hot,aroon_down,100,-0.0020319647299142348
cold_to_hot,aroon_down,150,0.1750673277334666
cold_to_hot,aroon_down,200,0.361482732372729
cold_to_hot,aroon_down,250,0.39949247005030225
cold_to_hot,aroon_osc,-250,1.1450705983359935
cold_to_hot,aroon_osc,-200,1.1822739150361006
cold_to_hot,aroon_osc,-150,1.4078379436642128
cold_to_hot,aroon_osc,-100,1.4713885302189225
cold_to_hot,aroon_osc,-50,1.4605014113864274
cold_to_hot,aroon_osc,0,2.192204005024234
cold_to_hot,aroon_osc,50,2.1613807873455655
cold_to_hot,aroon_osc,100,1.9693294629374443
cold_to_hot,aroon_osc,150,1.7564257393876628
cold_to_hot,aroon_osc,200,1.6704583136526836
cold_to_hot,aroon_osc,250,1.5414239728779247
cold_to_hot,adx,-250,0.23318820975450594
cold_to_hot,adx,-200,0.4529133182206889
cold_to_hot,adx,-150,0.4987745828729498
cold_to_hot,adx,-100,0.4149450798630661
cold_to_hot,adx,-50,0.446681749243977
cold_to_hot,adx,0,0.7517685850867946
cold_to_hot,adx,50,0.8160609628035008
cold_to_hot,adx,100,0.7362533227331136
cold_to_hot,adx,150,0.7741925967938101
cold_to_hot,adx,200,0.8506772948255692
cold_to_hot,adx,250,0.8340391900455598
cold_to_hot,plus_di,-250,0.7935591622766716
cold_to_hot,plus_di,-200,1.2290368924302824
cold_to_hot,plus_di,-150,1.374281750992029
cold_to_hot,plus_di,-100,1.3197125545312804
cold_to_hot,plus_di,-50,1.3102301003456231
cold_to_hot,plus_di,0,1.695995592413601
cold_to_hot,plus_di,50,1.6076218708506
cold_to_hot,plus_di,100,1.4991469801436677
cold_to_hot,plus_di,150,1.3749239843715244
cold_to_hot,plus_di,200,1.619969141316618
cold_to_hot,plus_di,250,1.5540395543930594
cold_to_hot,minus_di,-250,0.722891187471708
cold_to_hot,minus_di,-200,0.7906007693622246
cold_to_hot,minus_di,-150,1.0508322294773034
cold_to_hot,minus_di,-100,1.2074131811504378
cold_to_hot,minus_di,-50,1.257973264930486
cold_to_hot,minus_di,0,0.9816412339620304
cold_to_hot,minus_di,50,1.1081415534982575
cold_to_hot,minus_di,100,1.2427584723769212
cold_to_hot,minus_di,150,1.3743077895906104
cold_to_hot,minus_di,200,1.1909702273657286
cold_to_hot,minus_di,250,1.3014407583251209
cold_to_hot,gapo,-250,1.22869368534166
cold_to_hot,gapo,-200,1.2363658841818446
cold_to_hot,gapo,-150,1.3148374895700305
cold_to_hot,gapo,-100,1.43080364852494
cold_to_hot,gapo,-50,1.5615161994475601
cold_to_hot,gapo,0,2.033182714457407
cold_to_hot,gapo,50,2.019656056767894
cold_to_hot,gapo,100,1.9808824906697144
cold_to_hot,gapo,150,1.943728280507628
cold_to_hot,gapo,200,1.921572976370384
cold_to_hot,gapo,250,1.8997777219807854
cold_to_hot,ich_tenkan,-250,0.018196360270095528
cold_to_hot,ich_tenkan,-200,0.02550100643393756
cold_to_hot,ich_tenkan,-150,0.02649796066825366
cold_to_hot,ich_tenkan,-100,0.016682106277060356
cold_to_hot,ich_tenkan,-50,0.01484665897880661
cold_to_hot,ich_tenkan,0,0.03711008679271214
cold_to_hot,ich_tenkan,50,0.04488643700170793
cold_to_hot,ich_tenkan,100,0.04442689875347805
cold_to_hot,ich_tenkan,150,0.04462042588365733
cold_to_hot,ich_tenkan,200,0.046543989199789
cold_to_hot,ich_tenkan,250,0.04621965367108896
cold_to_hot,ich_kijun,-250,0.014258524060388755
cold_to_hot,ich_kijun,-200,0.015364897985140707
cold_to_hot,ich_kijun,-150,0.015865834711327992
cold_to_hot,ich_kijun,-100,0.01613076643119164
cold_to_hot,ich_kijun,-50,0.016795258120742666
cold_to_hot,ich_kijun,0,0.028298019648344892
cold_to_hot,ich_kijun,50,0.03421292452190159
cold_to_hot,ich_kijun,100,0.034665606189461844
cold_to_hot,ich_kijun,150,0.0349029433503165
cold_to_hot,ich_kijun,200,0.03577309884225349
cold_to_hot,ich_kijun,250,0.0360171098810101
cold_to_hot,ich_senkou_a,-250,0.016743872187228396
cold_to_hot,ich_senkou_a,-200,0.020963778654171605
cold_to_hot,ich_senkou_a,-150,0.02172930837038649
cold_to_hot,ich_senkou_a,-100,0.01700768610926056
cold_to_hot,ich_senkou_a,-50,0.01645796775820097
cold_to_hot,ich_senkou_a,0,0.033724634252157444
cold_to_hot,ich_senkou_a,50,0.04078350128625673
cold_to_hot,ich_senkou_a,100,0.04080098772326399
cold_to_hot,ich_senkou_a,150,0.04102549272956657
cold_to_hot,ich_senkou_a,200,0.04245032564895152
cold_to_hot,ich_senkou_a,250,0.042421771690114164
cold_to_hot,ich_senkou_b,-250,0.012460271144071172
cold_to_hot,ich_senkou_b,-200,0.013535833056548966
cold_to_hot,ich_senkou_b,-150,0.014004710689876961
cold_to_hot,ich_senkou_b,-100,0.014251143606120651
cold_to_hot,ich_senkou_b,-50,0.014964427140234996
cold_to_hot,ich_senkou_b,0,0.02630462019117655
cold_to_hot,ich_senkou_b,50,0.03210028581956187
cold_to_hot,ich_senkou_b,100,0.032514896000935475
cold_to_hot,ich_senkou_b,150,0.032736492350781334
cold_to_hot,ich_senkou_b,200,0.03362605052793198
cold_to_hot,ich_senkou_b,250,0.03383618237880214
cold_to_hot,ich_chikou,-250,-0.002652262222042576
cold_to_hot,ich_chikou,-200,0.019660062555353564
cold_to_hot,ich_chikou,-150,-7.193822658312287e-05
cold_to_hot,ich_chikou,-100,-0.009975289105748261
cold_to_hot,ich_chikou,-50,-0.0031818435226552122
cold_to_hot,ich_chikou,0,0.058858969524511716
cold_to_hot,ich_chikou,50,0.023388349925477985
cold_to_hot,ich_chikou,100,0.0063338992124556395
cold_to_hot,ich_chikou,150,0.007649561407468043
cold_to_hot,ich_chikou,200,0.028681571037293643
cold_to_hot,ich_chikou,250,0.0011378241317474207
cold_to_hot,linreg_slope,-250,0.01171893863539302
cold_to_hot,linreg_slope,-200,0.013048643917063965
cold_to_hot,linreg_slope,-150,0.011879463219618159
