event,signal,t_ms,mean_z
cold_to_hot,heat_score,-250,-0.18419413382296662
cold_to_hot,heat_score,-200,-0.07447953267917252
cold_to_hot,heat_score,-150,0.009547159672867643
cold_to_hot,heat_score,-100,-0.0025632430534939846
cold_to_hot,heat_score,-50,0.1029570249138478
cold_to_hot,heat_score,0,0.6689450963699232
cold_to_hot,heat_score,50,0.6739580608300574
cold_to_hot,heat_score,100,0.6532519380129769
cold_to_hot,heat_score,150,0.6437303663314633
cold_to_hot,heat_score,200,0.6332548414104023
cold_to_hot,heat_score,250,0.6327537793583959
cold_to_hot,access_rate,-250,-0.004780735064725745
cold_to_hot,access_rate,-200,0.0014622829215909516
cold_to_hot,access_rate,-150,0.0020702459636016356
cold_to_hot,access_rate,-100,-0.0013955007674079528
cold_to_hot,access_rate,-50,-0.0035626058922107605
cold_to_hot,access_rate,0,0.000863373931469133
cold_to_hot,access_rate,50,0.005301490799819847
cold_to_hot,access_rate,100,0.008618537421419556
cold_to_hot,access_rate,150,0.007602107714127867
cold_to_hot,access_rate,200,0.008508636987048623
cold_to_hot,access_rate,250,0.010071365232883052
cold_to_hot,interval_access_rate,-250,0.00999236451967554
cold_to_hot,interval_access_rate,-200,0.032380536263098114
cold_to_hot,interval_access_rate,-150,0.02175833187304471
cold_to_hot,interval_access_rate,-100,-0.02008186389135142
cold_to_hot,interval_access_rate,-50,-0.015326298929872174
cold_to_hot,interval_access_rate,0,0.04583067047038305
cold_to_hot,interval_access_rate,50,0.05436918496182468
cold_to_hot,interval_access_rate,100,0.04237990473873788
cold_to_hot,interval_access_rate,150,0.0031136541021774032
cold_to_hot,interval_access_rate,200,0.014963884831401696
cold_to_hot,interval_access_rate,250,0.030823175834878883
cold_to_hot,swing_index,-250,0.29688385533769573
cold_to_hot,swing_index,-200,-0.10633908197563997
cold_to_hot,swing_index,-150,0.018648583393854237
cold_to_hot,swing_index,-100,-0.4490273033490088
cold_to_hot,swing_index,-50,0.3779445894758369
cold_to_hot,swing_index,0,1.3906576246976072
cold_to_hot,swing_index,50,0.198883134692405
cold_to_hot,swing_index,100,-0.7353165167570219
cold_to_hot,swing_index,150,-0.22639272505513466
cold_to_hot,swing_index,200,-0.12963837620261665
cold_to_hot,swing_index,250,0.2012474244733758
cold_to_hot,accum_swing_index,-250,-0.12097179746025592
cold_to_hot,accum_swing_index,-200,-0.13386257331899223
cold_to_hot,accum_swing_index,-150,-0.10099092024772985
cold_to_hot,accum_swing_index,-100,-0.23935208883660522
cold_to_hot,accum_swing_index,-50,-0.07492941787110528
cold_to_hot,accum_swing_index,0,0.46028347583755014
cold_to_hot,accum_swing_index,50,0.5591454164209552
cold_to_hot,accum_swing_index,100,0.3159635968807594
cold_to_hot,accum_swing_index,150,0.2591168821015851
cold_to_hot,accum_swing_index,200,0.23769540727702368
cold_to_hot,accum_swing_index,250,0.3374229184769683
cold_to_hot,aroon_up,-250,0.3103439933735605
cold_to_hot,aroon_up,-200,0.3091475237594682
cold_to_hot,aroon_up,-150,0.2898122182920053
cold_to_hot,aroon_up,-100,0.3255872419612248
cold_to_hot,aroon_up,-50,0.5133945294190739
cold_to_hot,aroon_up,0,0.6201244460622266
cold_to_hot,aroon_up,50,0.6362205241997467
cold_to_hot,aroon_up,100,0.5704629239229824
cold_to_hot,aroon_up,150,0.5025342967420724
cold_to_hot,aroon_up,200,0.4284381482753687
cold_to_hot,aroon_up,250,0.4052443190704735
cold_to_hot,aroon_down,-250,-0.49739218923079886
cold_to_hot,aroon_down,-200,-0.4642055646108314
cold_to_hot,aroon_down,-150,-0.4549855061977058
cold_to_hot,aroon_down,-100,-0.4206262808953871
cold_to_hot,aroon_down,-50,-0.43034364471605707
cold_to_hot,aroon_down,0,-0.3806902356809186
cold_to_hot,aroon_down,50,-0.3560170990609203
cold_to_hot,aroon_down,100,-0.34508807327231394
cold_to_hot,aroon_down,150,-0.3171502650001855
cold_to_hot,aroon_down,200,-0.28663529202455834
cold_to_hot,aroon_down,250,-0.20858330811219086
cold_to_hot,aroon_oscillator,-250,0.5260586757445864
cold_to_hot,aroon_oscillator,-200,0.5042213609092908
cold_to_hot,aroon_oscillator,-150,0.48523718756142514
cold_to_hot,aroon_oscillator,-100,0.4877883486131157
cold_to_hot,aroon_oscillator,-50,0.6216063285840956
cold_to_hot,aroon_oscillator,0,0.6627000579954829
cold_to_hot,aroon_oscillator,50,0.658010710936202
cold_to_hot,aroon_oscillator,100,0.6063883805686059
cold_to_hot,aroon_oscillator,150,0.5425150372288093
cold_to_hot,aroon_oscillator,200,0.47281670995320296
cold_to_hot,aroon_oscillator,250,0.407604064257724
cold_to_hot,avg_directional_index,-250,-0.6042644407257038
cold_to_hot,avg_directional_index,-200,-0.5736949789087711
cold_to_hot,avg_directional_index,-150,-0.5007635811966801
cold_to_hot,avg_directional_index,-100,-0.5280201146505356
cold_to_hot,avg_directional_index,-50,-0.5394885924098387
cold_to_hot,avg_directional_index,0,-0.4273444666598701
cold_to_hot,avg_directional_index,50,-0.3782827582448782
cold_to_hot,avg_directional_index,100,-0.3680052766878389
cold_to_hot,avg_directional_index,150,-0.34436116125902655
cold_to_hot,avg_directional_index,200,-0.33907804645551026
cold_to_hot,avg_directional_index,250,-0.3108200878686932
cold_to_hot,plus_directional_indicator,-250,-0.08551441588391498
cold_to_hot,plus_directional_indicator,-200,-0.006486724555768311
cold_to_hot,plus_directional_indicator,-150,0.05225263274314672
cold_to_hot,plus_directional_indicator,-100,0.0810209779789046
cold_to_hot,plus_directional_indicator,-50,0.19823113463097808
cold_to_hot,plus_directional_indicator,0,0.4021115928917043
cold_to_hot,plus_directional_indicator,50,0.4149230547678923
cold_to_hot,plus_directional_indicator,100,0.34077622480619835
cold_to_hot,plus_directional_indicator,150,0.35423530504765105
cold_to_hot,plus_directional_indicator,200,0.42134764617394654
cold_to_hot,plus_directional_indicator,250,0.5244698836432469
cold_to_hot,minus_directional_indicator,-250,-0.35644708362585115
cold_to_hot,minus_directional_indicator,-200,-0.2504680803339768
cold_to_hot,minus_directional_indicator,-150,-0.16729540713561628
cold_to_hot,minus_directional_indicator,-100,-0.051923416172526916
cold_to_hot,minus_directional_indicator,-50,-0.014721579809983907
cold_to_hot,minus_directional_indicator,0,-0.04811541255865889
cold_to_hot,minus_directional_indicator,50,-0.026075095404847225
cold_to_hot,minus_directional_indicator,100,0.06794493373342798
cold_to_hot,minus_directional_indicator,150,0.1231353079328269
cold_to_hot,minus_directional_indicator,200,0.15620222422784868
cold_to_hot,minus_directional_indicator,250,0.17279182707440796
cold_to_hot,gopalakrishnan_range_index,-250,0.14535230937238547
cold_to_hot,gopalakrishnan_range_index,-200,0.2328234490763175
cold_to_hot,gopalakrishnan_range_index,-150,0.2532462760905366
cold_to_hot,gopalakrishnan_range_index,-100,0.234721338164791
cold_to_hot,gopalakrishnan_range_index,-50,0.30389858228007893
cold_to_hot,gopalakrishnan_range_index,0,0.6470006092654705
cold_to_hot,gopalakrishnan_range_index,50,0.6105617206299704
cold_to_hot,gopalakrishnan_range_index,100,0.573508716986674
cold_to_hot,gopalakrishnan_range_index,150,0.5418938738442008
cold_to_hot,gopalakrishnan_range_index,200,0.5177358364674117
