event,n_events,signal,amplitude,consistency,lead_lag_ms,score
cold_to_hot,1057,swing_index,8.408533774800599,0.9933774834437086,0,8.352848120662847
cold_to_hot,1057,random_walk_index_high,7.07832653949118,0.9877010406811731,0,6.991270489336606
cold_to_hot,1057,system_quality_number,5.549465185384417,0.9612109744560076,0,5.334206838553044
cold_to_hot,1057,inter_access_interval_ms,6.0384976502726335,0.532639545884579,-100,3.2163426462663125
cold_to_hot,1057,vertical_horizontal_filter,3.9580452514156512,0.7757805108798487,0,3.070574367228793
cold_to_hot,1057,range_action_verification_index,2.8373511761463663,0.8533585619678334,0,2.421277919474004
cold_to_hot,1057,aroon_up,2.983625510128364,0.8051087984862819,0,2.402143149592467
cold_to_hot,1057,accum_swing_index,2.407131156126583,0.9668874172185431,0,2.3274248264535173
cold_to_hot,1057,aroon_oscillator,2.8740035479254815,0.8079470198675497,0,2.3220426016351574
cold_to_hot,1057,schaff_trend_cycle,2.64787728698391,0.8495742667928098,0,2.2495684046466895
cold_to_hot,1057,gopalakrishnan_range_index,2.6780444482614523,0.836329233680227,0,2.239726861176087
cold_to_hot,1057,schaff_trend_cycle_signal,2.712217665925449,0.7795648060548723,50,2.114349438715771
cold_to_hot,1057,random_walk_index_low,2.0322226614897976,0.9877010406811731,100,2.0072284376493363
cold_to_hot,1057,supertrend_direction,2.3310689192874756,0.8391674550614948,100,1.95615717257142
cold_to_hot,1057,plus_directional_indicator,2.8508673248599212,0.5553453169347209,0,1.5832158180631728
cold_to_hot,1057,heat_score,1.6546290214347525,0.9517502365184485,0,1.5747935625008147
cold_to_hot,1057,parabolic_sar_direction,1.6358375907146616,0.8694418164616841,250,1.4222656063072603
cold_to_hot,1057,avg_directional_index,1.5104507944705285,0.6035950804162725,0,0.9117006687532614
cold_to_hot,1057,triple_exp_rate_of_change,5.622520059360294,0.15515610217596973,0,0.8723682968165452
cold_to_hot,1057,inter_access_variance_ms2,1.6275189274792294,0.48438978240302744,-50,0.7883535391384725
cold_to_hot,1057,minus_directional_indicator,1.2966472915771123,0.6073793755912961,100,0.7875568223202517
cold_to_hot,1057,ichimoku_chikou,0.4182170068138648,0.9649952696310312,0,0.4035774332546283
cold_to_hot,1057,interval_access_rate,0.4182170068138648,0.9649952696310312,0,0.4035774332546283
cold_to_hot,1057,linear_reg_slope,0.28539923220460317,0.4607379375591296,-250,0.131494253626908
cold_to_hot,1057,ichimoku_tenkan,0.14736927547664866,0.8703878902554399,0,0.12826843277059297
cold_to_hot,1057,ichimoku_senkou_a,0.1425553247029311,0.8732261116367077,0,0.12448303188344884
cold_to_hot,1057,ichimoku_kijun,0.13032583745002993,0.8741721854304636,0,0.11392722214174802
cold_to_hot,1057,ichimoku_senkou_b,0.12380833505830716,0.8836329233680227,0,0.1094011210448996
cold_to_hot,1057,recency_weighted_frequency,0.10212060207893511,0.8486281929990539,50,0.08666242201022213
cold_to_hot,1057,supertrend,0.07711579281334313,0.8495742667928098,-250,0.06551559313754222
cold_to_hot,1057,access_rate,0.06615107604149992,0.8486281929990539,50,0.05613766812604108
cold_to_hot,1057,linear_reg_intercept,0.05579786837403401,0.8486281929990539,50,0.04735164421145554
cold_to_hot,1057,parabolic_sar,0.1639640665603154,0.18826868495742669,50,0.030869299191582558
cold_to_hot,1057,aroon_down,0.007671188235498894,0.9990539262062441,-200,0.007663930725342319
hot_to_cold,1059,random_walk_index_high,2.4136334548979477,0.9952785646836638,0,2.402237640663302
hot_to_cold,1059,system_quality_number,2.2842633211774737,1.0,0,2.2842633211774737
hot_to_cold,1059,schaff_trend_cycle_signal,2.1980738421600403,0.9244570349386213,50,2.032024826699414
hot_to_cold,1059,schaff_trend_cycle,2.0299561402079336,0.9263456090651558,50,1.880440957076471
hot_to_cold,1059,swing_index,2.1484965496075175,0.8139754485363551,0,1.7488234426455902
hot_to_cold,1059,random_walk_index_low,1.8210585988855577,0.9301227573182247,50,1.6938080452334978
hot_to_cold,1059,minus_directional_indicator,1.4391372208308466,0.9933899905571294,0,1.4296245102115681
hot_to_cold,1059,range_action_verification_index,1.5789121586410122,0.7525967894239849,50,1.1882842213757192
hot_to_cold,1059,parabolic_sar_direction,1.227710522729348,0.9074598677998111,0,1.1140980286524114
hot_to_cold,1059,aroon_up,0.9516810713034736,0.8857412653446648,100,0.8429431963009049
hot_to_cold,1059,aroon_oscillator,0.9174795667338254,0.8857412653446648,100,0.8126495123666932
hot_to_cold,1059,vertical_horizontal_filter,0.5817974303381761,0.996222851746931,-250,0.5795998951905342
hot_to_cold,1059,supertrend_direction,0.8461960361697436,0.5278564683663833,-250,0.44667005119819325
hot_to_cold,1059,ichimoku_chikou,0.3188313806627292,0.9990557129367328,-100,0.31853031231460577
hot_to_cold,1059,interval_access_rate,0.3188313806627292,0.9990557129367328,-100,0.31853031231460577
hot_to_cold,1059,linear_reg_slope,0.32672006024697037,0.8413597733711048,-150,0.2748891158451847
hot_to_cold,1059,accum_swing_index,0.2750637037473225,0.9981114258734656,-100,0.27454422555327657
hot_to_cold,1059,avg_directional_index,0.48149016833937686,0.45042492917847027,-200,0.21687517497439354
hot_to_cold,1059,plus_directional_indicator,0.5924814979425745,0.3068932955618508,-50,0.18182859946301863
hot_to_cold,1059,parabolic_sar,0.20332958667622603,0.8942398489140698,-200,0.18182541886910863
hot_to_cold,1059,inter_access_variance_ms2,0.19878106398689854,0.6827195467422096,-250,0.13571171790606953
hot_to_cold,1059,linear_reg_intercept,0.13231420826429652,0.9254013220018886,-250,0.12244374324741321
hot_to_cold,1059,heat_score,0.13285912884871465,0.71671388101983,100,0.09522198186607593
hot_to_cold,1059,supertrend,0.13055340714577263,0.591123701605288,-50,0.07717321328919138
hot_to_cold,1059,recency_weighted_frequency,0.07852743596329853,0.9263456090651558,-250,0.0727435454957468
hot_to_cold,1059,ichimoku_tenkan,0.07721069012177639,0.6591123701605288,-250,0.05089052096789417
hot_to_cold,1059,ichimoku_senkou_a,0.07437570318165992,0.6628895184135978,-250,0.04930287406376324
hot_to_cold,1059,access_rate,0.06063095657059245,0.6005665722379604,-250,0.03641292575910935
hot_to_cold,1059,ichimoku_senkou_b,0.0643147173373062,0.4145420207743154,-250,0.026661152890535812
hot_to_cold,1059,ichimoku_kijun,0.06770075035926393,0.37865911237016053,-250,0.025635506037832705
hot_to_cold,1059,gopalakrishnan_range_index,0.046397470673655405,0.5240793201133145,-250,0.02431595488562677
hot_to_cold,1059,triple_exp_rate_of_change,0.0004131612221461231,0.9971671388101983,-200,0.0004119907937547743
hot_to_cold,1059,aroon_down,0.019264826597248402,0.0066100094428706326,-250,0.00012734068572307726
hot_to_cold,1059,inter_access_interval_ms,0.0001923187637282303,0.6222851746931067,-250,0.00011967711548338413
migration,285,parabolic_sar_direction,0.20352058162342707,1.0,100,0.20352058162342707
migration,285,swing_index,1.4205661118621882,0.12280701754385964,0,0.17445548742167222
migration,285,random_walk_index_high,1.1157396307009726,0.12280701754385964,0,0.13702065640187383
migration,285,system_quality_number,1.0946341188384063,0.12280701754385964,0,0.1344287514362955
migration,285,vertical_horizontal_filter,0.7154145794159774,0.12280701754385964,0,0.0878579308054709
migration,285,aroon_up,0.5419715934548756,0.12280701754385964,0,0.06655791498568647
migration,285,aroon_oscillator,0.522123086930562,0.12280701754385964,0,0.06412037909673568
migration,285,range_action_verification_index,0.5201641970523707,0.12280701754385964,0,0.06387981367309815
migration,285,schaff_trend_cycle_signal,0.5054727532418659,0.12280701754385964,50,0.06207560127531686
migration,285,schaff_trend_cycle,0.4901360885626577,0.12280701754385964,0,0.06019215122699305
migration,285,gopalakrishnan_range_index,0.45483717899252074,0.12280701754385964,0,0.055857197420134126
migration,285,accum_swing_index,0.4446629261110391,0.12280701754385964,0,0.05460772776802234
migration,285,inter_access_interval_ms,1.028649836340084,0.04912280701754386,-50,0.050530167399162024
migration,285,plus_directional_indicator,0.5339063273724753,0.07368421052631578,0,0.039340466227445546
migration,285,inter_access_variance_ms2,0.3032630601615864,0.12280701754385964,0,0.0372428319496685
migration,285,supertrend_direction,0.3322599144634806,0.10526315789473684,100,0.03497472783826111
migration,285,heat_score,0.2362142014737857,0.12280701754385964,0,0.029008761584499995
migration,285,triple_exp_rate_of_change,0.5495578999418491,0.04912280701754386,0,0.026995826663810132
migration,285,random_walk_index_low,0.19167997867668465,0.12280701754385964,100,0.023539646504154254
migration,285,avg_directional_index,0.2697345298200404,0.07368421052631578,0,0.01987517588147666
migration,285,minus_directional_indicator,0.22100665438261818,0.07368421052631578,100,0.016284700849245548
migration,285,ichimoku_chikou,0.04001332781569874,0.12280701754385964,50,0.004913917451050722
migration,285,interval_access_rate,0.04001332781569874,0.12280701754385964,50,0.004913917451050722
migration,285,ichimoku_tenkan,0.024057719785269563,0.12280701754385964,50,0.0029544568157348584
migration,285,ichimoku_senkou_a,0.02283123526521219,0.12280701754385964,50,0.0028038359097629006
migration,285,parabolic_sar,0.02163687289167641,0.12280701754385964,100,0.0026571598288023662
migration,285,ichimoku_kijun,0.020478959550973553,0.12280701754385964,50,0.0025149599448564012
migration,285,ichimoku_senkou_b,0.019454685381302766,0.12280701754385964,50,0.0023891718889319184
migration,285,supertrend,0.017398259201494314,0.11578947368421053,50,0.0020145352759624994
migration,285,recency_weighted_frequency,0.014848979560603446,0.12280701754385964,50,0.0018235588934074406
migration,285,linear_reg_slope,0.01016439640080118,0.12280701754385964,50,0.0012482592071159343
migration,285,access_rate,0.008859935078519225,0.12280701754385964,100,0.001088062202625168
migration,285,linear_reg_intercept,0.005734809375999423,0.12280701754385964,50,0.0007042748356490519
migration,285,aroon_down,2.7755575615628914e-17,0.0,-250,0.0
